experiment_id,fold,head,eval_level,thr,auc,f1,sens,spec,brier,n_pos,n_neg,n_test,threshold_policy,target_sensitivity
text_lr_no_entropy,1,txt,clip,0.5,0.5763313609467455,0.07407407407407407,0.038461538461538464,1.0,0.20230683457474088,26,65,91,fixed_0.5,
text_lr_no_entropy,1,txt,speaker,0.5,0.6153846153846154,0.11764705882352941,0.0625,1.0,0.23874915461196516,16,26,42,fixed_0.5,
text_lr_no_drift,1,txt,clip,0.5,0.5769230769230769,0.0,0.0,1.0,0.20377976660103503,26,65,91,fixed_0.5,
text_lr_no_drift,1,txt,speaker,0.5,0.6009615384615384,0.0,0.0,1.0,0.24706957811974575,16,26,42,fixed_0.5,
text_lr_traditional_only,1,txt,clip,0.5,0.58698224852071,0.07407407407407407,0.038461538461538464,1.0,0.20092443186172582,26,65,91,fixed_0.5,
text_lr_traditional_only,1,txt,speaker,0.5,0.639423076923077,0.11764705882352941,0.0625,1.0,0.2363370250964799,16,26,42,fixed_0.5,
text_lr_novel_only,1,txt,clip,0.5,0.598224852071006,0.0,0.0,1.0,0.2041401735738311,26,65,91,fixed_0.5,
text_lr_novel_only,1,txt,speaker,0.5,0.5576923076923077,0.0,0.0,1.0,0.25261352371962464,16,26,42,fixed_0.5,
text_lr_no_entropy,2,txt,clip,0.5,0.6863905325443788,0.07407407407407407,0.038461538461538464,1.0,0.18963991403702204,26,65,91,fixed_0.5,
text_lr_no_entropy,2,txt,speaker,0.5,0.6900452488687783,0.0,0.0,1.0,0.2324734145632336,17,26,43,fixed_0.5,
text_lr_no_drift,2,txt,clip,0.5,0.6982248520710059,0.1935483870967742,0.11538461538461539,0.9692307692307692,0.18707895403137462,26,65,91,fixed_0.5,
text_lr_no_drift,2,txt,speaker,0.5,0.6900452488687783,0.21052631578947367,0.11764705882352941,1.0,0.22830550504217734,17,26,43,fixed_0.5,
text_lr_traditional_only,2,txt,clip,0.5,0.7071005917159763,0.0,0.0,1.0,0.18774638396331375,26,65,91,fixed_0.5,
text_lr_traditional_only,2,txt,speaker,0.5,0.7262443438914027,0.0,0.0,1.0,0.23011001110370782,17,26,43,fixed_0.5,
text_lr_novel_only,2,txt,clip,0.5,0.5798816568047337,0.25,0.15384615384615385,0.9692307692307692,0.19554960665448318,26,65,91,fixed_0.5,
text_lr_novel_only,2,txt,speaker,0.5,0.5339366515837104,0.21052631578947367,0.11764705882352941,1.0,0.23748567714936772,17,26,43,fixed_0.5,
text_lr_no_entropy,3,txt,clip,0.5,0.548611111111111,0.16666666666666666,0.1111111111111111,0.90625,0.22406185922399932,27,64,91,fixed_0.5,
text_lr_no_entropy,3,txt,speaker,0.5,0.5822222222222222,0.1818181818181818,0.1111111111111111,0.92,0.25579112629555745,18,25,43,fixed_0.5,
text_lr_no_drift,3,txt,clip,0.5,0.5584490740740741,0.21621621621621623,0.14814814814814814,0.90625,0.22126883093779268,27,64,91,fixed_0.5,
text_lr_no_drift,3,txt,speaker,0.5,0.5888888888888889,0.1818181818181818,0.1111111111111111,0.92,0.2532867589927325,18,25,43,fixed_0.5,
text_lr_traditional_only,3,txt,clip,0.5,0.5561342592592593,0.21621621621621623,0.14814814814814814,0.90625,0.22157512794365128,27,64,91,fixed_0.5,
text_lr_traditional_only,3,txt,speaker,0.5,0.5866666666666667,0.1818181818181818,0.1111111111111111,0.92,0.25385294725450924,18,25,43,fixed_0.5,
text_lr_novel_only,3,txt,clip,0.5,0.6082175925925926,0.12903225806451613,0.07407407407407407,0.96875,0.20697545001235332,27,64,91,fixed_0.5,
text_lr_novel_only,3,txt,speaker,0.5,0.6066666666666667,0.19999999999999998,0.1111111111111111,1.0,0.25022343108670925,18,25,43,fixed_0.5,
text_lr_no_entropy,4,txt,clip,0.5,0.5751479289940828,0.06666666666666668,0.038461538461538464,0.9538461538461539,0.20346535499754084,26,65,91,fixed_0.5,
text_lr_no_entropy,4,txt,speaker,0.5,0.5740740740740741,0.0,0.0,1.0,0.23874320090938436,16,27,43,fixed_0.5,
text_lr_no_drift,4,txt,clip,0.5,0.5982248520710058,0.125,0.07692307692307693,0.9384615384615385,0.20452119323826737,26,65,91,fixed_0.5,
text_lr_no_drift,4,txt,speaker,0.5,0.5833333333333335,0.0,0.0,1.0,0.23832398943741015,16,27,43,fixed_0.5,
text_lr_traditional_only,4,txt,clip,0.5,0.6011834319526628,0.06451612903225806,0.038461538461538464,0.9384615384615385,0.20188947399372792,26,65,91,fixed_0.5,
text_lr_traditional_only,4,txt,speaker,0.5,0.5833333333333334,0.0,0.0,1.0,0.23802653045948813,16,27,43,fixed_0.5,
text_lr_novel_only,4,txt,clip,0.5,0.5710059171597632,0.12903225806451613,0.07692307692307693,0.9538461538461539,0.205773872000838,26,65,91,fixed_0.5,
text_lr_novel_only,4,txt,speaker,0.5,0.5810185185185186,0.0,0.0,1.0,0.23691000963547043,16,27,43,fixed_0.5,
text_lr_no_entropy,5,txt,clip,0.5,0.4887573964497042,0.06896551724137931,0.038461538461538464,0.9692307692307692,0.2123487151420041,26,65,91,fixed_0.5,
text_lr_no_entropy,5,txt,speaker,0.5,0.4531590413943355,0.1111111111111111,0.058823529411764705,1.0,0.25174430586771596,17,27,44,fixed_0.5,
text_lr_no_drift,5,txt,clip,0.5,0.493491124260355,0.07142857142857144,0.038461538461538464,0.9846153846153847,0.21075524982398194,26,65,91,fixed_0.5,
text_lr_no_drift,5,txt,speaker,0.5,0.46840958605664484,0.1111111111111111,0.058823529411764705,1.0,0.24962914079041967,17,27,44,fixed_0.5,
text_lr_traditional_only,5,txt,clip,0.5,0.4863905325443787,0.06896551724137931,0.038461538461538464,0.9692307692307692,0.21139217706064076,26,65,91,fixed_0.5,
text_lr_traditional_only,5,txt,speaker,0.5,0.47276688453159044,0.1111111111111111,0.058823529411764705,1.0,0.25084283628492365,17,27,44,fixed_0.5,
text_lr_novel_only,5,txt,clip,0.5,0.5550295857988166,0.07142857142857144,0.038461538461538464,0.9846153846153847,0.20271809814807906,26,65,91,fixed_0.5,
text_lr_novel_only,5,txt,speaker,0.5,0.5947712418300654,0.1111111111111111,0.058823529411764705,1.0,0.24015718492418328,17,27,44,fixed_0.5,
